date,keyword,count,llt_diff,thres
2025-01-20,港股,4761.0,91.45,2
2025-01-21,港股,5286.0,669.136,2
2025-01-22,港股,4740.0,170.706,2
2025-01-23,港股,4608.0,114.005,2
2025-01-24,港股,4355.0,-52.479,2
2025-02-03,港股,18045.0,0.0,2
2025-02-04,港股,22199.0,0.0,2
2025-02-05,港股,10673.0,6162.893,3
2025-02-06,港股,6922.0,2066.922,3
2025-02-07,港股,6708.0,1727.502,3
2025-02-10,港股,6009.0,955.803,2
2025-02-11,港股,6189.0,1092.555,3
2025-02-12,港股,6931.0,1747.493,3
2025-02-13,港股,10243.0,4777.313,3
2025-02-14,港股,10615.0,4704.953,3
2025-02-17,港股,10127.0,3810.34,3
2025-02-18,港股,11348.0,4618.044,3
2025-02-19,港股,8705.0,1662.237,3
2025-02-20,港股,9004.0,1787.204,3
2025-02-21,港股,10369.0,2908.885,3
2025-02-24,港股,9274.0,1575.392,3
2024-01-08,恒生指数,18544.0,4159.42,1
2024-01-17,恒生指数,33808.0,17628.0,3
2024-01-18,恒生指数,32277.0,14379.35,3
2024-01-22,恒生指数,35405.0,15437.38,3
2024-01-23,恒生指数,31130.0,9711.95,3
2024-01-24,恒生指数,28652.0,6228.74,3
2024-01-25,恒生指数,23290.0,327.97,2
2024-01-30,恒生指数,22030.0,-993.81,2
2024-01-31,恒生指数,23246.0,76.85,2
2024-02-02,恒生指数,25975.0,2440.95,2
2024-02-05,恒生指数,26841.0,2841.26,2
2024-02-15,恒生指数,22197.0,0.0,2
2024-02-16,恒生指数,26315.0,0.0,2
2024-02-19,恒生指数,23074.0,-368.45,2
2024-05-03,恒生指数,24139.0,0.0,2
2024-05-06,恒生指数,23193.0,7896.86,3
2024-05-10,恒生指数,20229.0,3997.745,1
2024-08-05,恒生指数,26905.0,12455.954,3
2024-08-06,恒生指数,23326.0,7839.466,3
2024-09-19,恒生指数,20651.0,7846.456,1
2024-09-20,恒生指数,19360.0,5885.997,1
2024-09-24,恒生指数,22336.0,7941.352,3
2024-09-25,恒生指数,24216.0,8945.653,3
2024-09-26,恒生指数,26889.0,10583.516,3
2024-09-27,恒生指数,32859.0,15169.44,3
2024-09-30,恒生指数,39289.0,19707.599,3
2024-10-02,恒生指数,84074.0,0.0,2
2024-10-03,恒生指数,180215.0,0.0,2
2024-10-04,恒生指数,159175.0,0.0,2
2024-10-05,恒生指数,33934.0,0.0,2
2024-10-07,恒生指数,181526.0,0.0,2
2024-10-08,恒生指数,223299.0,192566.007,3
2024-10-09,恒生指数,174110.0,126404.506,3
2024-10-10,恒生指数,104276.0,46752.086,3
2024-10-11,恒生指数,42780.0,-17324.791,2
2024-10-14,恒生指数,63273.0,2829.932,2
2024-10-15,恒生指数,60153.0,-1434.613,2
2024-10-16,恒生指数,56966.0,-5343.471,2
2024-10-17,恒生指数,51730.0,-10805.686,2
2024-10-18,恒生指数,50040.0,-12337.406,2
2024-10-21,恒生指数,45931.0,-15988.501,2
2024-10-22,恒生指数,40302.0,-20688.593,2
2024-10-23,恒生指数,38319.0,-21412.726,2
2024-10-24,恒生指数,36494.0,-21862.525,2
2024-10-25,恒生指数,32262.0,-24501.967,2
2024-10-28,恒生指数,30073.0,-24880.681,2
2024-10-29,恒生指数,32069.0,-21181.904,2
2024-10-30,恒生指数,31113.0,-20597.048,2
2024-10-31,恒生指数,28491.0,-21601.463,2
2024-11-01,恒生指数,29524.0,-18979.41,2
2024-11-04,恒生指数,25293.0,-21569.649,2
2024-11-05,恒生指数,27769.0,-17477.574,2
2024-11-06,恒生指数,41557.0,-2987.312,2
2024-11-07,恒生指数,35500.0,-8767.535,2
2024-11-08,恒生指数,35446.0,-8255.666,2
2024-11-11,恒生指数,35089.0,-8061.104,2
2024-11-12,恒生指数,44759.0,1666.558,2
2024-11-13,恒生指数,44643.0,1138.789,2
2024-11-14,恒生指数,43951.0,112.072,2
2024-11-15,恒生指数,43899.0,-206.421,2
2024-11-18,恒生指数,37296.0,-6721.597,2
2024-11-19,恒生指数,32656.0,-10717.993,2
2024-11-20,恒生指数,29145.0,-13224.69,2
2024-11-21,恒生指数,28105.0,-13104.927,2
2024-11-22,恒生指数,41853.0,1095.33,2
2024-11-25,恒生指数,35583.0,-5122.77,2
2024-11-26,恒生指数,29978.0,-10094.383,2
2024-11-27,恒生指数,31223.0,-8039.753,2
2024-11-28,恒生指数,32236.0,-6385.894,2
2024-11-29,恒生指数,31895.0,-6164.468,2
2024-12-02,恒生指数,31092.0,-6388.409,2
2024-12-03,恒生指数,30720.0,-6164.825,2
2024-12-04,恒生指数,28131.0,-8055.164,2
2024-12-05,恒生指数,26328.0,-8993.866,2
2024-12-06,恒生指数,25752.0,-8652.143,2
2024-12-09,恒生指数,49689.0,14980.563,3
2024-12-10,恒生指数,55251.0,18803.894,3
2024-12-11,恒生指数,33795.0,-3476.545,2
2024-12-12,恒生指数,35440.0,-1615.562,2
2024-12-13,恒生指数,35229.0,-1696.346,2
2024-12-16,恒生指数,27955.0,-8479.277,2
2024-12-17,恒生指数,30757.0,-5001.177,2
2024-12-18,恒生指数,26252.0,-8795.905,2
2024-12-19,恒生指数,30905.0,-3492.423,2
2024-12-20,恒生指数,25223.0,-8522.397,2
2024-12-23,恒生指数,27423.0,-5546.682,2
2025-01-02,恒生指数,29011.0,4249.647,3
2025-01-03,恒生指数,28648.0,3714.743,3
2025-01-06,恒生指数,24356.0,-512.3,2
2025-01-07,恒生指数,27343.0,2593.674,2
2025-01-08,恒生指数,27561.0,2758.051,2
2025-01-09,恒生指数,22264.0,-2343.191,2
2025-01-10,恒生指数,22865.0,-1334.418,2
